Season,Gamecode,Home,Player_ID,IsStarter,IsPlaying,Team,Dorsal,Player,Minutes,Points,FieldGoalsMade2,FieldGoalsAttempted2,FieldGoalsMade3,FieldGoalsAttempted3,FreeThrowsMade,FreeThrowsAttempted,OffensiveRebounds,DefensiveRebounds,TotalRebounds,Assistances,Steals,Turnovers,BlocksFavour,BlocksAgainst,FoulsCommited,FoulsReceived,Valuation,Plusminus,gamecode,group,datetime,TeamScore,OpponentScore,PlayerName,total_fp,Cluster
2023,1,1,P004720   ,0.0,1.0,RED,2,"LAZAREVIC, STEFAN",5.07,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,-1.0,E2023_1,Regular Season,2023-10-05 19:00:00,94,73,S. Lazarevic,1.1,2.0
2023,1,1,PJDR      ,0.0,1.0,RED,4,"TEODOSIC, MILOS",14.62,3,0,3,1,3,0,0,0,3,3,2,1,1,0,0,4,0,-1,6.0,E2023_1,Regular Season,2023-10-05 19:00:00,94,73,M. Teodosic,-0.9,2.0
2023,1,1,P005099   ,0.0,1.0,RED,5,"HANGA, ADAM",22.35,7,1,6,1,5,2,2,1,3,4,3,2,1,1,0,1,3,9,4.0,E2023_1,Regular Season,2023-10-05 19:00:00,94,73,A. Hanga,9.9,2.0
2023,1,1,P002553   ,0.0,1.0,RED,9,"MITROVIC, LUKA",21.53,9,3,3,0,0,3,4,1,0,1,2,1,0,0,0,2,4,14,20.0,E2023_1,Regular Season,2023-10-05 19:00:00,94,73,L. Mitrovic,15.4,1.0
2023,1,1,PLUO      ,1.0,0.0,RED,10,"LAZIC, BRANKO",12.77,6,0,0,2,2,0,0,1,1,2,0,0,0,0,0,0,0,8,7.0,E2023_1,Regular Season,2023-10-05 19:00:00,94,73,B. Lazic,8.8,3.0
2023,1,1,P012711   ,1.0,0.0,RED,11,"SIMONOVIC, MARKO",18.37,14,4,4,2,2,0,0,1,0,1,0,0,1,0,0,5,1,10,8.0,E2023_1,Regular Season,2023-10-05 19:00:00,94,73,M. Simonovic,11.0,2.0
2023,1,1,P011224   ,1.0,0.0,RED,13,"NAPIER, SHABAZZ",20.67,21,2,3,5,8,2,2,0,3,3,1,2,2,0,0,2,1,20,20.0,E2023_1,Regular Season,2023-10-05 19:00:00,94,73,S. Napier,22.0,1.0
2023,1,1,P008966   ,0.0,0.0,RED,18,"TOBEY, MIKE",13.07,0,0,1,0,3,0,0,2,3,5,0,1,2,0,0,1,0,-1,3.0,E2023_1,Regular Season,2023-10-05 19:00:00,94,73,M. Tobey,-0.9,2.0
2023,1,1,P011964   ,0.0,1.0,RED,22,"ILIC, DALIBOR",14.55,5,1,5,1,2,0,0,5,0,5,0,0,0,0,2,1,1,3,-1.0,E2023_1,Regular Season,2023-10-05 19:00:00,94,73,D. Ilic,3.3,2.0
2023,1,1,P000848   ,0.0,0.0,RED,26,"NEDOVIC, NEMANJA",16.95,12,3,6,1,2,3,3,0,3,3,3,1,2,0,0,1,3,15,3.0,E2023_1,Regular Season,2023-10-05 19:00:00,94,73,N. Nedovic,16.5,1.0
2023,1,1,P006436   ,1.0,0.0,RED,31,"GIEDRAITIS, ROKAS",27.85,17,2,4,4,7,1,2,1,4,5,4,2,0,0,0,3,1,20,24.0,E2023_1,Regular Season,2023-10-05 19:00:00,94,73,R. Giedraitis,22.0,1.0
2023,1,1,P003479   ,1.0,0.0,RED,32,"KUZMIC, OGNJEN",12.22,0,0,2,0,0,0,0,3,1,4,4,0,0,1,1,1,0,5,12.0,E2023_1,Regular Season,2023-10-05 19:00:00,94,73,O. Kuzmic,5.5,3.0
2023,1,0,P012729   ,0.0,1.0,ASV,0,"SCOTT, MIKE",22.37,13,3,3,2,5,1,3,1,1,2,1,0,0,0,0,0,1,12,-6.0,E2023_1,Regular Season,2023-10-05 19:00:00,73,94,M. Scott,12.0,1.0
2023,1,0,P011225   ,1.0,1.0,ASV,3,"LEE, PARIS",29.7,7,2,3,1,3,0,0,1,2,3,9,2,4,0,0,1,1,14,-14.0,E2023_1,Regular Season,2023-10-05 19:00:00,73,94,P. Lee,14.0,1.0
2023,1,0,P004194   ,1.0,1.0,ASV,7,"LAUVERGNE, JOFFREY",22.65,18,5,7,2,5,2,5,4,2,6,1,0,1,0,0,1,4,19,-17.0,E2023_1,Regular Season,2023-10-05 19:00:00,73,94,J. Lauvergne,19.0,1.0
2023,1,0,P012080   ,1.0,1.0,ASV,9,"LUWAWU-CABARROT, TIMOTHE",29.95,13,2,5,1,3,6,6,1,0,1,0,2,2,0,1,3,4,9,-20.0,E2023_1,Regular Season,2023-10-05 19:00:00,73,94,T. Luwawu-cabarrot,9.0,1.0
2023,1,0,P003274   ,0.0,0.0,ASV,10,"DALLO, BORIS",0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,E2023_1,Regular Season,2023-10-05 19:00:00,73,94,B. Dallo,0.0,3.0
2023,1,0,P000229   ,0.0,0.0,ASV,11,"JACKSON, EDWIN",0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,E2023_1,Regular Season,2023-10-05 19:00:00,73,94,E. Jackson,0.0,2.0
