Season,Gamecode,Home,Player_ID,IsStarter,IsPlaying,Team,Dorsal,Player,Minutes,Points,FieldGoalsMade2,FieldGoalsAttempted2,FieldGoalsMade3,FieldGoalsAttempted3,FreeThrowsMade,FreeThrowsAttempted,OffensiveRebounds,DefensiveRebounds,TotalRebounds,Assistances,Steals,Turnovers,BlocksFavour,BlocksAgainst,FoulsCommited,FoulsReceived,Valuation,Plusminus,gamecode,group,datetime,TeamScore,OpponentScore,TeamName,OpponentName,PlayerName,Pos,total_fp
2023,1,1,P004720   ,0.0,1.0,RED,2,"LAZAREVIC, STEFAN",5.07,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,-1.0,E2023_1,Regular Season,2023-10-05 19:00:00,94,73,CRVENA ZVEZDA MERIDIANBET BELGRADE,LDLC ASVEL VILLEURBANNE,S. Lazarevic,F,1.1
2023,1,1,PJDR      ,0.0,1.0,RED,4,"TEODOSIC, MILOS",14.62,3,0,3,1,3,0,0,0,3,3,2,1,1,0,0,4,0,-1,6.0,E2023_1,Regular Season,2023-10-05 19:00:00,94,73,CRVENA ZVEZDA MERIDIANBET BELGRADE,LDLC ASVEL VILLEURBANNE,M. Teodosic,G,-0.9
2023,1,1,P005099   ,0.0,1.0,RED,5,"HANGA, ADAM",22.35,7,1,6,1,5,2,2,1,3,4,3,2,1,1,0,1,3,9,4.0,E2023_1,Regular Season,2023-10-05 19:00:00,94,73,CRVENA ZVEZDA MERIDIANBET BELGRADE,LDLC ASVEL VILLEURBANNE,A. Hanga,F,9.9
2023,1,1,P002553   ,0.0,1.0,RED,9,"MITROVIC, LUKA",21.53,9,3,3,0,0,3,4,1,0,1,2,1,0,0,0,2,4,14,20.0,E2023_1,Regular Season,2023-10-05 19:00:00,94,73,CRVENA ZVEZDA MERIDIANBET BELGRADE,LDLC ASVEL VILLEURBANNE,L. Mitrovic,F,15.4
2023,1,1,PLUO      ,1.0,0.0,RED,10,"LAZIC, BRANKO",12.77,6,0,0,2,2,0,0,1,1,2,0,0,0,0,0,0,0,8,7.0,E2023_1,Regular Season,2023-10-05 19:00:00,94,73,CRVENA ZVEZDA MERIDIANBET BELGRADE,LDLC ASVEL VILLEURBANNE,B. Lazic,G,8.8
2023,1,1,P012711   ,1.0,0.0,RED,11,"SIMONOVIC, MARKO",18.37,14,4,4,2,2,0,0,1,0,1,0,0,1,0,0,5,1,10,8.0,E2023_1,Regular Season,2023-10-05 19:00:00,94,73,CRVENA ZVEZDA MERIDIANBET BELGRADE,LDLC ASVEL VILLEURBANNE,M. Simonovic,,11.0
2023,1,1,P011224   ,1.0,0.0,RED,13,"NAPIER, SHABAZZ",20.67,21,2,3,5,8,2,2,0,3,3,1,2,2,0,0,2,1,20,20.0,E2023_1,Regular Season,2023-10-05 19:00:00,94,73,CRVENA ZVEZDA MERIDIANBET BELGRADE,LDLC ASVEL VILLEURBANNE,S. Napier,G,22.0
2023,1,1,P008966   ,0.0,0.0,RED,18,"TOBEY, MIKE",13.07,0,0,1,0,3,0,0,2,3,5,0,1,2,0,0,1,0,-1,3.0,E2023_1,Regular Season,2023-10-05 19:00:00,94,73,CRVENA ZVEZDA MERIDIANBET BELGRADE,LDLC ASVEL VILLEURBANNE,M. Tobey,C,-0.9
2023,1,1,P011964   ,0.0,1.0,RED,22,"ILIC, DALIBOR",14.55,5,1,5,1,2,0,0,5,0,5,0,0,0,0,2,1,1,3,-1.0,E2023_1,Regular Season,2023-10-05 19:00:00,94,73,CRVENA ZVEZDA MERIDIANBET BELGRADE,LDLC ASVEL VILLEURBANNE,D. Ilic,F,3.3
2023,1,1,P000848   ,0.0,0.0,RED,26,"NEDOVIC, NEMANJA",16.95,12,3,6,1,2,3,3,0,3,3,3,1,2,0,0,1,3,15,3.0,E2023_1,Regular Season,2023-10-05 19:00:00,94,73,CRVENA ZVEZDA MERIDIANBET BELGRADE,LDLC ASVEL VILLEURBANNE,N. Nedovic,G,16.5
2023,1,1,P006436   ,1.0,0.0,RED,31,"GIEDRAITIS, ROKAS",27.85,17,2,4,4,7,1,2,1,4,5,4,2,0,0,0,3,1,20,24.0,E2023_1,Regular Season,2023-10-05 19:00:00,94,73,CRVENA ZVEZDA MERIDIANBET BELGRADE,LDLC ASVEL VILLEURBANNE,R. Giedraitis,F,22.0
2023,1,1,P003479   ,1.0,0.0,RED,32,"KUZMIC, OGNJEN",12.22,0,0,2,0,0,0,0,3,1,4,4,0,0,1,1,1,0,5,12.0,E2023_1,Regular Season,2023-10-05 19:00:00,94,73,CRVENA ZVEZDA MERIDIANBET BELGRADE,LDLC ASVEL VILLEURBANNE,O. Kuzmic,,5.5
2023,1,0,P012729   ,0.0,1.0,ASV,0,"SCOTT, MIKE",22.37,13,3,3,2,5,1,3,1,1,2,1,0,0,0,0,0,1,12,-6.0,E2023_1,Regular Season,2023-10-05 19:00:00,73,94,LDLC ASVEL VILLEURBANNE,CRVENA ZVEZDA MERIDIANBET BELGRADE,M. Scott,F,12.0
2023,1,0,P011225   ,1.0,1.0,ASV,3,"LEE, PARIS",29.7,7,2,3,1,3,0,0,1,2,3,9,2,4,0,0,1,1,14,-14.0,E2023_1,Regular Season,2023-10-05 19:00:00,73,94,LDLC ASVEL VILLEURBANNE,CRVENA ZVEZDA MERIDIANBET BELGRADE,P. Lee,G,14.0
2023,1,0,P004194   ,1.0,1.0,ASV,7,"LAUVERGNE, JOFFREY",22.65,18,5,7,2,5,2,5,4,2,6,1,0,1,0,0,1,4,19,-17.0,E2023_1,Regular Season,2023-10-05 19:00:00,73,94,LDLC ASVEL VILLEURBANNE,CRVENA ZVEZDA MERIDIANBET BELGRADE,J. Lauvergne,C,19.0
2023,1,0,P012080   ,1.0,1.0,ASV,9,"LUWAWU-CABARROT, TIMOTHE",29.95,13,2,5,1,3,6,6,1,0,1,0,2,2,0,1,3,4,9,-20.0,E2023_1,Regular Season,2023-10-05 19:00:00,73,94,LDLC ASVEL VILLEURBANNE,CRVENA ZVEZDA MERIDIANBET BELGRADE,T. Luwawu-cabarrot,F,9.0
2023,1,0,P003274   ,0.0,0.0,ASV,10,"DALLO, BORIS",0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,E2023_1,Regular Season,2023-10-05 19:00:00,73,94,LDLC ASVEL VILLEURBANNE,CRVENA ZVEZDA MERIDIANBET BELGRADE,B. Dallo,,0.0
2023,1,0,P000229   ,0.0,0.0,ASV,11,"JACKSON, EDWIN",0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,E2023_1,Regular Season,2023-10-05 19:00:00,73,94,LDLC ASVEL VILLEURBANNE,CRVENA ZVEZDA MERIDIANBET BELGRADE,E. Jackson,G,0.0
2023,1,0,P002100   ,1.0,1.0,ASV,12,"DE COLO, NANDO",25.62,13,1,2,3,5,2,3,0,2,2,5,0,2,0,0,0,2,16,-25.0,E2023_1,Regular Season,2023-10-05 19:00:00,73,94,LDLC ASVEL VILLEURBANNE,CRVENA ZVEZDA MERIDIANBET BELGRADE,N. De colo,G,16.0
2023,1,0,P012730   ,1.0,0.0,ASV,15,"EGBUNU, JOHN",24.57,7,3,6,0,0,1,2,1,0,1,0,0,2,1,1,2,2,2,-14.0,E2023_1,Regular Season,2023-10-05 19:00:00,73,94,LDLC ASVEL VILLEURBANNE,CRVENA ZVEZDA MERIDIANBET BELGRADE,J. Egbunu,,2.0
2023,1,0,P006568   ,0.0,0.0,ASV,19,"FALL, YOUSSOUPHA",10.42,0,0,0,0,0,0,0,0,3,3,0,0,1,1,0,2,1,2,-5.0,E2023_1,Regular Season,2023-10-05 19:00:00,73,94,LDLC ASVEL VILLEURBANNE,CRVENA ZVEZDA MERIDIANBET BELGRADE,Y. Fall,C,2.0
2023,1,0,P012731   ,0.0,0.0,ASV,24,"NDIAYE, MBAYE",12.47,0,0,1,0,1,0,0,1,3,4,1,0,1,1,0,2,0,1,-2.0,E2023_1,Regular Season,2023-10-05 19:00:00,73,94,LDLC ASVEL VILLEURBANNE,CRVENA ZVEZDA MERIDIANBET BELGRADE,M. Ndiaye,F,1.0
2023,1,0,P011386   ,0.0,0.0,ASV,31,"NOAM, YAACOV",6.28,0,0,1,0,0,0,2,0,1,1,0,0,0,0,0,0,5,3,-3.0,E2023_1,Regular Season,2023-10-05 19:00:00,73,94,LDLC ASVEL VILLEURBANNE,CRVENA ZVEZDA MERIDIANBET BELGRADE,Y. Noam,,3.0
2023,1,0,P012732   ,0.0,0.0,ASV,33,"JACKSON, FRANK",15.98,2,1,1,0,3,0,0,0,4,4,0,1,1,0,0,3,1,1,1.0,E2023_1,Regular Season,2023-10-05 19:00:00,73,94,LDLC ASVEL VILLEURBANNE,CRVENA ZVEZDA MERIDIANBET BELGRADE,F. Jackson,,1.0
2023,4,1,P012744   ,1.0,1.0,TEL,1,"ANTONIUS, CLEVELAND",22.47,4,0,2,0,2,4,4,0,2,2,4,2,2,0,0,4,3,5,5.0,E2023_4,Regular Season,2023-10-05 20:05:00,96,81,MACCABI PLAYTIKA TEL AVIV,PARTIZAN MOZZART BET BELGRADE,C. Antonius,,5.5
2023,4,1,P011971   ,0.0,1.0,TEL,3,"WEBB III, JAMES",15.53,3,1,2,0,2,1,2,0,0,0,0,0,0,0,1,2,1,-3,4.0,E2023_4,Regular Season,2023-10-05 20:05:00,96,81,MACCABI PLAYTIKA TEL AVIV,PARTIZAN MOZZART BET BELGRADE,J. Webb iii,F,-2.7
2023,4,1,P009622   ,1.0,0.0,TEL,4,"BROWN, LORENZO",24.95,22,5,7,4,5,0,0,0,1,1,8,2,3,0,0,2,0,25,14.0,E2023_4,Regular Season,2023-10-05 20:05:00,96,81,MACCABI PLAYTIKA TEL AVIV,PARTIZAN MOZZART BET BELGRADE,L. Brown,G,27.5
2023,4,1,P004233   ,0.0,1.0,TEL,8,"MENCO, RAFI",6.6,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,-9.0,E2023_4,Regular Season,2023-10-05 20:05:00,96,81,MACCABI PLAYTIKA TEL AVIV,PARTIZAN MOZZART BET BELGRADE,R. Menco,F,-0.9
