,PlayerName,Pos
0,K. Evans,G
1,J. Thiemann,C
2,G. Yabusele,F
3,N. Milutinov,C
4,S. Ojeleye,F
5,J. Nunnally,F
6,J. Motley,C
7,M. Teodosic,G
8,N. Calathes,G
9,B. Caboclo,C
10,M. Costello,C
11,P. Dozier jr,F
12,D. Inglis,C
13,M. Scott,F
14,F. Kaminsky,C
15,D. Thomas,F
16,A. Avramovic,G
17,J. Brown,F
18,A. Hanga,F
19,T. Pleiss,C
20,R. Rubio,G
21,M. Kotsar,C
22,J. Mickey,C
23,M. Thomas,G
24,S. Jovic,G
25,B. Manek,F
26,J. Harper,G
27,R. Mcgruder,G
28,J. Webb iii,F
29,X. Lopez-arostegui,F
30,J. Smith,G
31,B. Toure,C
32,A. Noua,F
33,R. Fernandez,F
34,E. Harris,C
35,D. Andjusic,G
36,S. Rodriguez,G
37,N. Topic,G
38,A. Poythress,C
39,J. Pradilla,C
40,K. Walker,G
41,J. Smart,G
42,A. Cleveland,F
43,M. Delow,G
44,T. Dimsa,G
45,E. Sumner,G
46,D. Cacok,C
47,G. Larentzakis,G
48,L. Sikma,F
49,B. Baron,G
50,B. Koprivica,C
51,A. Abass,F
52,K. Hines,C
53,K. Antetokounmpo,C
54,D. Diez,F
55,J. Nnaji,C
56,V. Claver,F
57,A. Balcerowski,C
58,M. Ponitka,F
59,K. Pangos,G
60,N. Reuvers,F
61,N. Sestina,F
62,D. Flaccadori,G
63,A. Samontourov,F
64,M. Tobey,C
65,J. Parra,F
66,U. Trifunovic,F
67,C. Chiozza,G
68,J. Theodore,G
69,D. Ilic,F
70,F. Gillespie,C
71,Z. Samar,G
72,P. Cornelie,F
73,J. Puerto,G
74,R. Lomazs,G
75,E. Yilmaz,F
76,O. Pauli,F
77,L. Mari,G
78,D. Radoncic,F
79,J. Thomasson,G
80,D. Moraitis,G
81,C. Alocen,G
82,N. Wimberg,F
83,E. Mantzoukas,F
84,K. Robertson,G
85,D. Lavrinovicius,F
86,K. Nikic,C
87,N. Mitrou-long,G
88,G. Caruso,F
89,K. Jakucionis,G
90,N. Yaacov,G
91,N. Montvila,G
92,M. Mahmutoglu,G
93,N. Weidemann,G
94,S. Lazarevic,F
95,D. Butka,F
96,M. Lountzis,G
97,S. Raieste,F
98,O. Mayer,G
99,S. Hazer,G
100,H. Mestoglu,F
101,G. Tanoulis,C
102,R. Oncel,G
103,B. Yildizli,F
104,T. Thompkins,F
105,B. Mascolo,G
106,V. Hrabar,F
107,D. Sarr,G
108,M. Tunca,G
109,E. Gazi,G
110,I. Diagne,C
111,S. De Larrea,G
112,K. Lukosiunas,G
113,M. Lessort,C
114,D. Oturu,C
115,N. Sako,C
116,F. Campazzo,G
117,S. Vezenkov,F
118,T. Blatt,G
119,T. Jones,C
120,C. Moneke,F
121,T. Maledon,G
122,J. Rivero,C
123,T. Shorts,G
124,S. Shields,F
125,I. Cordinier,G
126,A. Diallo,F
127,K. Nunn,G
128,S. Francisco,G
129,M. James,G
130,S. Napier,G
131,J. Voigtmann,C
132,N. Kalinic,F
133,D. Brizuela,G
134,K. Koumadje,C
135,E. Okobo,G
136,W. Baldwin iv,G
137,J. Hernangomez,F
138,N. Mirotic,F
139,J. Hoard,F
140,T. Sedekerskis,F
141,I. Canaan,G
142,J. Grant,G
143,E. Bryant,G
144,C. Miller-mcintyre,G
145,J. Loyd,G
146,S. Larkin,G
147,M. Hermannsson,G
148,M. Jantunen,C
149,M. Jaiteh,C
150,N. Giffey,F
151,N. Hayes-davis,F
152,Y. Madar,G
153,D. Booker,C
154,J. Bolomboy,C
155,N. Nedovic,G
156,K. Punter,G
157,Z. Leday,F
158,S. Ibaka,C
159,N. Laprovittola,G
160,W. Tavares,C
161,B. Colson,F
162,D. Musa,F
163,P. Lee,G
164,M. Diouf,C
165,W. Mcdowell-white,G
166,C. Jones,G
167,K. Birch,C
168,K. Hayes,C
169,J. Vesely,C
170,O. Yurtseven,C
171,X. Rathan-mayes,G
172,G. Deck,F
173,L. Mitrovic,F
174,B. Davies,C
175,V. Marinkovic,F
176,T. Shengelia,F
177,M. Wright,C
178,I. Brazdeikis,G
179,L. Brown,G
180,N. De colo,G
